name,full_name,url,stars,forks,open_issues,language,created_at,updated_at,description,owner,license
best-of-ml-python,lukasmasuch/best-of-ml-python,https://github.com/lukasmasuch/best-of-ml-python,22215,2982,30,,2020-11-29T19:41:36Z,2025-10-16T12:45:30Z,🏆 A ranked list of awesome machine learning Python libraries. Updated weekly.,lukasmasuch,Creative Commons Attribution Share Alike 4.0 International
nni,microsoft/nni,https://github.com/microsoft/nni,14280,1830,415,Python,2018-06-01T05:51:44Z,2025-10-13T19:39:30Z,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",microsoft,MIT License
tpot,EpistasisLab/tpot,https://github.com/EpistasisLab/tpot,10004,1578,303,Jupyter Notebook,2015-11-03T21:08:40Z,2025-10-15T19:01:59Z,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,EpistasisLab,GNU Lesser General Public License v3.0
autogluon,autogluon/autogluon,https://github.com/autogluon/autogluon,9490,1068,440,Python,2019-07-29T18:51:24Z,2025-10-16T11:21:10Z,Fast and Accurate ML in 3 Lines of Code,autogluon,Apache License 2.0
autokeras,keras-team/autokeras,https://github.com/keras-team/autokeras,9276,1409,153,Python,2017-11-19T23:18:20Z,2025-10-15T23:53:49Z,AutoML library for deep learning,keras-team,Apache License 2.0
auto-sklearn,automl/auto-sklearn,https://github.com/automl/auto-sklearn,7970,1313,205,Python,2015-07-02T15:38:10Z,2025-10-16T04:54:42Z,Automated Machine Learning with scikit-learn,automl,"BSD 3-Clause ""New"" or ""Revised"" License"
featuretools,alteryx/featuretools,https://github.com/alteryx/featuretools,7548,904,161,Python,2017-09-08T22:15:17Z,2025-10-15T02:05:26Z,An open source python library for automated feature engineering,alteryx,"BSD 3-Clause ""New"" or ""Revised"" License"
h2o-3,h2oai/h2o-3,https://github.com/h2oai/h2o-3,7315,2026,2908,Jupyter Notebook,2014-03-03T16:08:07Z,2025-10-16T11:43:36Z,"H2O is an Open Source, Distributed, Fast & Scalable Machine Learning Platform: Deep Learning, Gradient Boosting (GBM) & XGBoost, Random Forest, Generalized Linear Modeling (GLM with Elastic Net), K-Means, PCA, Generalized Additive Models (GAM), RuleFit, Support Vector Machine (SVM), Stacked Ensembles, Automatic Machine Learning (AutoML), etc.",h2oai,Apache License 2.0
automl,google/automl,https://github.com/google/automl,6401,1463,158,Jupyter Notebook,2020-03-12T03:52:47Z,2025-10-13T07:02:03Z,Google Brain AutoML,google,Apache License 2.0
zenml,zenml-io/zenml,https://github.com/zenml-io/zenml,4949,547,106,Python,2020-11-19T09:25:46Z,2025-10-16T08:30:57Z,ZenML 🙏: MLOps for Reliable AI: from Classical ML to Agents. https://zenml.io.,zenml-io,Apache License 2.0
