ts,kind,level_2,variable,value
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,0,y__variance_larger_than_standard_deviation,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,1,y__has_duplicate_max,0.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,2,y__has_duplicate_min,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,3,y__has_duplicate,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,4,y__sum_values,5154532.390000001
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,5,y__abs_energy,180333595.50402898
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,6,y__mean_abs_change,1.1961140537431616
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,7,y__mean_change,1.2372430212805809e-05
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,8,y__mean_second_derivative_central,-7.590703895669607e-06
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,9,y__median,34.18
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,10,y__mean,34.472251767239364
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,11,y__length,149527.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,12,y__standard_deviation,4.20604721613628
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,13,y__variation_coefficient,0.12201254633831286
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,14,y__variance,17.690833184367754
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,15,y__skewness,0.6148483706510159
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,16,y__kurtosis,6.303599573811141
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,17,y__root_mean_square,34.727899088316654
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,18,y__absolute_sum_of_changes,178850.14999999997
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,19,y__longest_strike_below_mean,2651.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,20,y__longest_strike_above_mean,1123.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,21,y__count_above_mean,70282.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,22,y__count_below_mean,79245.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,23,y__last_location_of_maximum,0.4228935242464572
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,24,y__first_location_of_maximum,0.4228868364910685
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,25,y__last_location_of_minimum,0.7994208403833422
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,26,y__first_location_of_minimum,0.799246958743237
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,27,y__percentage_of_reoccurring_values_to_all_values,0.5885540862779103
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,28,y__percentage_of_reoccurring_datapoints_to_all_datapoints,0.9873066402723254
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,29,y__sum_of_reoccurring_values,98460.99333333333
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,30,y__sum_of_reoccurring_data_points,5082975.831666666
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,31,y__ratio_value_number_to_time_series_length,0.030850615607883526
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,32,y__maximum,98.33
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,33,y__absolute_maximum,98.33
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,34,y__minimum,0.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,35,y__benford_correlation,0.10428302624395096
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,36,y__time_reversal_asymmetry_statistic__lag_1,0.8055918131143216
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,37,y__time_reversal_asymmetry_statistic__lag_2,0.14164610055638918
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,38,y__time_reversal_asymmetry_statistic__lag_3,-0.6004368624080518
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,39,y__c3__lag_1,42634.61061938314
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,40,y__c3__lag_2,42606.93146750481
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,41,y__c3__lag_3,42575.6148199568
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,42,y__cid_ce__normalize_True,162.9927726727627
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,43,y__cid_ce__normalize_False,685.5552977506071
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,44,y__symmetry_looking__r_0.0,0.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,45,y__symmetry_looking__r_0.05,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,46,y__symmetry_looking__r_0.1,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,47,y__symmetry_looking__r_0.15000000000000002,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,48,y__symmetry_looking__r_0.2,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,49,y__symmetry_looking__r_0.25,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,50,y__symmetry_looking__r_0.30000000000000004,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,51,y__symmetry_looking__r_0.35000000000000003,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,52,y__symmetry_looking__r_0.4,1.0
05f10d3a-239c-3bef-9bdc-a2feeb0037aa,y,53,y__symmetry_looking__r_0.45,1.0
