ts,kind,level_2,variable,value
0,y,0,y__variance_larger_than_standard_deviation,1.0
0,y,1,y__has_duplicate_max,1.0
0,y,2,y__has_duplicate_min,1.0
0,y,3,y__has_duplicate,1.0
0,y,4,y__sum_values,22.478303863965564
0,y,5,y__abs_energy,5982.009516087036
0,y,6,y__mean_abs_change,0.12169093359471461
0,y,7,y__mean_change,-1.5134318138429928e-05
0,y,8,y__mean_second_derivative_central,1.0146495424221691e-05
0,y,9,y__median,-0.003397856043792306
0,y,10,y__mean,0.004495660772793113
0,y,11,y__length,5000.0
0,y,12,y__standard_deviation,1.0937923442096416
0,y,13,y__variation_coefficient,243.2995725186975
0,y,14,y__variance,1.196381692251623
0,y,15,y__skewness,0.003992943486512295
0,y,16,y__kurtosis,-1.516769084473559
0,y,17,y__root_mean_square,1.0938015831115837
0,y,18,y__absolute_sum_of_changes,608.3329770399783
0,y,19,y__longest_strike_below_mean,51.0
0,y,20,y__longest_strike_above_mean,51.0
0,y,21,y__count_above_mean,2493.0
0,y,22,y__count_below_mean,2507.0
0,y,23,y__last_location_of_maximum,0.988
0,y,24,y__first_location_of_maximum,0.0064
0,y,25,y__last_location_of_minimum,0.9706
0,y,26,y__first_location_of_minimum,0.0146
0,y,27,y__percentage_of_reoccurring_values_to_all_values,0.0004186728072011723
0,y,28,y__percentage_of_reoccurring_datapoints_to_all_datapoints,0.045
0,y,29,y__sum_of_reoccurring_values,0.028474532034622912
0,y,30,y__sum_of_reoccurring_data_points,36.618608727484286
0,y,31,y__ratio_value_number_to_time_series_length,0.9554
0,y,32,y__sample_entropy,0.22289565533454134
0,y,33,y__maximum,1.6054384028548938
0,y,34,y__absolute_maximum,1.6054384028548938
0,y,35,y__minimum,-1.576963870820271
0,y,36,y__benford_correlation,0.8516583405344357
0,y,37,y__time_reversal_asymmetry_statistic__lag_1,-0.0009319459030504276
0,y,38,y__time_reversal_asymmetry_statistic__lag_2,-0.0014137513874673837
0,y,39,y__time_reversal_asymmetry_statistic__lag_3,-0.0026908554437776507
0,y,40,y__c3__lag_1,0.010890411834445637
0,y,41,y__c3__lag_2,0.011086112573746249
0,y,42,y__c3__lag_3,0.010260535253486372
0,y,43,y__cid_ce__normalize_True,17.00360318766606
0,y,44,y__cid_ce__normalize_False,18.598410990647793
0,y,45,y__symmetry_looking__r_0.0,0.0
0,y,46,y__symmetry_looking__r_0.05,1.0
0,y,47,y__symmetry_looking__r_0.1,1.0
0,y,48,y__symmetry_looking__r_0.15000000000000002,1.0
0,y,49,y__symmetry_looking__r_0.2,1.0
0,y,50,y__symmetry_looking__r_0.25,1.0
0,y,51,y__symmetry_looking__r_0.30000000000000004,1.0
0,y,52,y__symmetry_looking__r_0.35000000000000003,1.0
0,y,53,y__symmetry_looking__r_0.4,1.0
0,y,54,y__symmetry_looking__r_0.45,1.0
0,y,55,y__symmetry_looking__r_0.5,1.0
0,y,56,y__symmetry_looking__r_0.55,1.0
0,y,57,y__symmetry_looking__r_0.6000000000000001,1.0
0,y,58,y__symmetry_looking__r_0.65,1.0
0,y,59,y__symmetry_looking__r_0.7000000000000001,1.0
0,y,60,y__symmetry_looking__r_0.75,1.0
0,y,61,y__symmetry_looking__r_0.8,1.0
0,y,62,y__symmetry_looking__r_0.8500000000000001,1.0
0,y,63,y__symmetry_looking__r_0.9,1.0
0,y,64,y__symmetry_looking__r_0.9500000000000001,1.0
0,y,65,y__large_standard_deviation__r_0.05,1.0
0,y,66,y__large_standard_deviation__r_0.1,1.0
0,y,67,y__large_standard_deviation__r_0.15000000000000002,1.0
0,y,68,y__large_standard_deviation__r_0.2,1.0
0,y,69,y__large_standard_deviation__r_0.25,1.0
0,y,70,y__large_standard_deviation__r_0.30000000000000004,1.0
0,y,71,y__large_standard_deviation__r_0.35000000000000003,0.0
0,y,72,y__large_standard_deviation__r_0.4,0.0
