ts,kind,level_2,variable,value
0,y,0,y__variance_larger_than_standard_deviation,1.0
0,y,1,y__has_duplicate_max,0.0
0,y,2,y__has_duplicate_min,0.0
0,y,3,y__has_duplicate,1.0
0,y,4,y__sum_values,730016.8991518037
0,y,5,y__abs_energy,31585609.762844115
0,y,6,y__mean_abs_change,1.2012514279863167
0,y,7,y__mean_change,-0.00014976253762750906
0,y,8,y__mean_second_derivative_central,-6.0294990327976724e-05
0,y,9,y__median,38.4615402222
0,y,10,y__mean,40.03383049913922
0,y,11,y__length,18235.0
0,y,12,y__standard_deviation,11.37692564402185
0,y,13,y__variation_coefficient,0.28418278995976837
0,y,14,y__variance,129.43443710960196
0,y,15,y__skewness,0.2788236326309215
0,y,16,y__kurtosis,-0.5101517315314337
0,y,17,y__root_mean_square,41.619010338346726
0,y,18,y__absolute_sum_of_changes,21903.618537902497
0,y,19,y__longest_strike_below_mean,1187.0
0,y,20,y__longest_strike_above_mean,924.0
0,y,21,y__count_above_mean,8419.0
0,y,22,y__count_below_mean,9816.0
0,y,23,y__last_location_of_maximum,0.5930353715382506
0,y,24,y__first_location_of_maximum,0.5929805319440636
0,y,25,y__last_location_of_minimum,0.46663010693720863
0,y,26,y__first_location_of_minimum,0.4665752673430217
0,y,27,y__percentage_of_reoccurring_values_to_all_values,0.7734627831715211
0,y,28,y__percentage_of_reoccurring_datapoints_to_all_datapoints,0.9769673704414588
0,y,29,y__sum_of_reoccurring_values,56673.3658866884
0,y,30,y__sum_of_reoccurring_data_points,708445.4066495909
0,y,31,y__ratio_value_number_to_time_series_length,0.1016726076227036
0,y,32,y__maximum,91.3076934814
0,y,33,y__absolute_maximum,91.3076934814
0,y,34,y__minimum,13.4615383148
0,y,35,y__benford_correlation,0.11581085421659253
0,y,36,y__time_reversal_asymmetry_statistic__lag_1,-1.34389178158305
0,y,37,y__time_reversal_asymmetry_statistic__lag_2,-4.425162825416798
0,y,38,y__time_reversal_asymmetry_statistic__lag_3,-7.533560736671545
0,y,39,y__c3__lag_1,79873.04517397261
0,y,40,y__c3__lag_2,79663.51335636442
0,y,41,y__c3__lag_3,79556.54317512903
0,y,42,y__cid_ce__normalize_True,19.92268091062754
0,y,43,y__cid_ce__normalize_False,226.65885934978303
0,y,44,y__symmetry_looking__r_0.0,0.0
0,y,45,y__symmetry_looking__r_0.05,1.0
0,y,46,y__symmetry_looking__r_0.1,1.0
0,y,47,y__symmetry_looking__r_0.15000000000000002,1.0
