ts,kind,level_2,variable,value
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,0,y__variance_larger_than_standard_deviation,0.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,1,y__has_duplicate_max,1.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,2,y__has_duplicate_min,1.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,3,y__has_duplicate,1.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,4,y__sum_values,2297.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,5,y__abs_energy,3075.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,6,y__mean_abs_change,0.678245766391663
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,7,y__mean_change,0.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,8,y__mean_second_derivative_central,0.00021720243266724586
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,9,y__median,1.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,10,y__mean,0.9969618055555556
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,11,y__length,2304.0
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,12,y__standard_deviation,0.5836973316112327
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,13,y__variation_coefficient,0.5854761219121811
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,14,y__variance,0.34070257493007333
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,15,y__skewness,0.0003381120672274984
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,16,y__kurtosis,-0.062497144995651066
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,17,y__root_mean_square,1.1552642194176477
011852a8a6b8a05a1b0b007ba56d8ddf91596dc0580711a570c650b8d395d5ad,y,18,y__absolute_sum_of_changes,1562.0
