id,y__abs_energy,"y__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",y__ar_coefficient__coeff_3__k_10,y__count_above_mean,"y__fft_aggregated__aggtype_""centroid""",y__index_mass_quantile__q_0.1,y__number_peaks__n_1,y__ratio_beyond_r_sigma__r_1.5
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---0,2.9205596029578005e-06,-0.0769550458754971,0.0007403973353181,398.0,686.2472513908035,0.0996666666666666,898.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---1,0.0011806997579595,0.0468635678885893,-0.0003499559020442,3.0,748.725826467605,0.1403333333333333,884.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---2,6.198988247015742e-05,0.0254458771907122,-0.0004974039261664,4.0,744.2248510071707,0.1106666666666666,866.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---3,1.1498913470493124e-05,0.0271444670603366,-0.0003322319052924,29.0,734.387829594811,0.103,867.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---4,2.9205596029578005e-06,-0.0769550458754971,0.0007403973353181,398.0,686.2472513908035,0.0996666666666666,898.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---5,0.0002320237789235,0.0353434557564272,-0.0004651183160367,4.0,747.0009867520986,0.12,887.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---6,2.9205596029578005e-06,-0.0769550458754971,0.0007403973353181,398.0,686.2472513908035,0.0996666666666666,898.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---7,6.198988247015742e-05,0.0254458771907122,-0.0004974039261664,4.0,744.2248510071707,0.1106666666666666,866.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---8,0.0011806997579595,0.0468635678885893,-0.0003499559020442,3.0,748.725826467605,0.1403333333333333,884.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---9,1.572055152606303e-05,0.0290447687707581,-0.0004133409141846,21.0,738.3231001708101,0.1043333333333333,901.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---0,1.1448517457720566e-05,0.0236441064095385,-0.0004537138215425,21.0,735.7593521360777,0.1043333333333333,897.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---1,1.1448517457720566e-05,0.0236441064095385,-0.0004537138215425,21.0,735.7593521360777,0.1043333333333333,897.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---2,3.562490969579561e-06,-0.0759018818724575,-0.000150361306632,62.0,707.364771025372,0.1013333333333333,949.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---3,7.611742969559522e-05,0.029510691837794,-0.0005020558966863,4.0,745.0480665309918,0.113,924.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---4,4.225572508653905e-05,0.0336493098714266,-0.0002697478180762,14.0,743.1316896009986,0.1086666666666666,884.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---5,0.0002304637115011,0.0411681921534951,-0.0003855923308299,4.0,747.1576206710687,0.1176666666666666,939.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---6,1.1448517457720566e-05,0.0236441064095385,-0.0004537138215425,21.0,735.7593521360777,0.1043333333333333,897.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---7,4.225572508653905e-05,0.0336493098714266,-0.0002697478180762,14.0,743.1316896009986,0.1086666666666666,884.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---8,0.0002304637115011,0.0411681921534951,-0.0003855923308299,4.0,747.1576206710687,0.1176666666666666,939.0,0.001
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---9,1.2676575620152912e-05,0.0468175144273073,-0.0003384953494013,19.0,736.8344833286126,0.104,917.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---0,5.384916796494408e-06,-0.061716727957518,0.0001727107146364,159.0,689.9754608079517,0.1003333333333333,909.0,0.0003333333333333
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---1,2.8772930188087e-05,-0.057051155057307,-0.0003596140079163,7.0,737.5985447611796,0.105,891.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---2,6.136094939286452e-06,-0.0558417929772511,-0.0004253623832792,52.0,704.8636378326962,0.101,890.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---3,2.378748242053897e-05,-0.029129091795896,-0.0004320936348643,7.0,736.3057043326827,0.105,914.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---4,8.068986067799765e-05,-0.0603594027457468,-0.0003416498048487,6.0,743.366160859764,0.1073333333333333,879.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---5,9.194874756029626e-06,-0.0348038552136534,-0.00048744367314,23.0,722.0902004056701,0.1016666666666666,895.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---6,5.272857998688458e-06,-0.0513339004796518,0.0001921544296143,144.0,683.7022815954662,0.1003333333333333,899.0,0.0006666666666666
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case3&numberOfSignificantValueDigits=2---7,6.136094939286452e-06,-0.0558417929772511,-0.0004253623832792,52.0,704.8636378326962,0.101,890.0,0.0006666666666666
