id,y__quantile__q_0.1,y__quantile__q_0.3,y__quantile__q_0.4,y__quantile__q_0.2,y__minimum,"y__fft_coefficient__attr_""abs""__coeff_0","y__fft_coefficient__attr_""real""__coeff_0","y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",y__mean,y__median,y__sum_values,y__quantile__q_0.6,"y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__quantile__q_0.7,y__quantile__q_0.8,y__root_mean_square,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","y__linear_trend__attr_""intercept""","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",y__quantile__q_0.9,"y__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","y__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","y__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","y__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","y__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---0,2.8563056893038204e-05,2.8680646595433303e-05,2.872662186000997e-05,2.8630935738351288e-05,2.8176838309859155e-05,0.0871148099261172,0.0871148099261172,2.847166251833924e-05,2.9038269975372423e-05,2.877143849637967e-05,0.0871148099261172,2.882088972836378e-05,2.860784282512548e-05,2.867213088539491e-05,2.8882235874580016e-05,2.895422911968772e-05,3.120127990407765e-05,2.9540983612942728e-05,2.954168559762653e-05,2.953904103298952e-05,2.909368144629725e-05,2.95405266093076e-05,6.412833177397387e-05,6.021774948923915e-05,3.613494696094392e-05,3.253809875856589e-05,5.017651217844338e-05,5.739738032462128e-05,4.1411368693208187e-05,6.56060921825917e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---1,2.874022467145549e-05,2.8852510932105863e-05,2.8891907767947544e-05,2.88036462042674e-05,2.8421154240182148e-05,0.1227065894388486,0.1227065894388486,2.875806719888376e-05,4.090219647961621e-05,2.8935365520284403e-05,0.1227065894388486,2.8982016143175787e-05,2.885338873841828e-05,2.8918075165797404e-05,2.9038675401516025e-05,2.910819471217407e-05,0.000627348855093,2.4897936839616563e-05,2.483187206862067e-05,2.49838669064194e-05,2.9267224410783446e-05,2.5426100765593982e-05,6.116036307414783e-05,5.755989280264117e-05,-1.152181844326825e-05,8.382332505494427e-06,4.935907623392458e-05,5.455652547168294e-05,3.81617093759721e-05,6.333681194189801e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---2,2.861096482685223e-05,2.87579381443299e-05,2.880943699711384e-05,2.8699300057372352e-05,2.8275163841807915e-05,0.0969154638105802,0.0969154638105802,2.8565398551558145e-05,3.230515460352676e-05,2.886296963411691e-05,0.0969154638105802,2.8922725755916937e-05,2.87017176669964e-05,2.875830683501564e-05,2.898877890190204e-05,2.906098321678321e-05,0.0001437473274767,3.037745491299015e-05,3.0386074546781847e-05,3.0370505805283463e-05,2.918263477662405e-05,3.0524127600238204e-05,6.355340031466333e-05,5.9761430843803416e-05,4.3832622578184207e-05,3.644629867881058e-05,5.036738254331449e-05,5.684648929913976e-05,4.04591460371461e-05,6.542488447379972e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---3,2.865032228077457e-05,2.8828867719171448e-05,2.8885923446219447e-05,2.876398958899629e-05,2.8236496613995497e-05,0.0909592993556067,0.0909592993556067,2.8858518416759947e-05,3.031976645186892e-05,2.893830200339632e-05,0.0909592993556067,2.899356404446162e-05,2.901344212912093e-05,2.908068371888057e-05,2.905687569094124e-05,2.914284047441958e-05,6.19109938284877e-05,2.9759849558714807e-05,2.975745889469961e-05,2.9762865419033857e-05,2.9369926492867675e-05,2.978778697836162e-05,6.432317911252726e-05,6.0289249623595074e-05,3.472317144469472e-05,3.20088675737739e-05,4.914424645947896e-05,5.728480703036877e-05,4.076583457015576e-05,6.60444181114074e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---4,2.8563056893038204e-05,2.8680646595433303e-05,2.872662186000997e-05,2.8630935738351288e-05,2.8176838309859155e-05,0.0871148099261172,0.0871148099261172,2.847166251833924e-05,2.9038269975372423e-05,2.877143849637967e-05,0.0871148099261172,2.882088972836378e-05,2.860784282512548e-05,2.867213088539491e-05,2.8882235874580016e-05,2.895422911968772e-05,3.120127990407765e-05,2.9540983612942728e-05,2.954168559762653e-05,2.953904103298952e-05,2.909368144629725e-05,2.95405266093076e-05,6.412833177397387e-05,6.021774948923915e-05,3.613494696094392e-05,3.253809875856589e-05,5.017651217844338e-05,5.739738032462128e-05,4.1411368693208187e-05,6.56060921825917e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---5,2.867526484963884e-05,2.882434386420986e-05,2.8876784526315164e-05,2.87569694678477e-05,2.83596328611898e-05,0.1049250480595627,0.1049250480595627,2.856470716338917e-05,3.4975016019854256e-05,2.893194552232233e-05,0.1049250480595627,2.899433223083548e-05,2.867525070400812e-05,2.8744724342296648e-05,2.9048937197984312e-05,2.912721878779753e-05,0.0002781029658978,2.9628938319349847e-05,2.964507411036224e-05,2.961827257017401e-05,2.925002490110901e-05,2.9822832781292256e-05,6.34294713653756e-05,5.95208334580242e-05,3.630535401837742e-05,3.269184606390847e-05,4.937352153970042e-05,5.672418988884152e-05,4.077765047602783e-05,6.493593976055514e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---6,2.8563056893038204e-05,2.8680646595433303e-05,2.872662186000997e-05,2.8630935738351288e-05,2.8176838309859155e-05,0.0871148099261172,0.0871148099261172,2.847166251833924e-05,2.9038269975372423e-05,2.877143849637967e-05,0.0871148099261172,2.882088972836378e-05,2.860784282512548e-05,2.867213088539491e-05,2.8882235874580016e-05,2.895422911968772e-05,3.120127990407765e-05,2.9540983612942728e-05,2.954168559762653e-05,2.953904103298952e-05,2.909368144629725e-05,2.95405266093076e-05,6.412833177397387e-05,6.021774948923915e-05,3.613494696094392e-05,3.253809875856589e-05,5.017651217844338e-05,5.739738032462128e-05,4.1411368693208187e-05,6.56060921825917e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---7,2.861096482685223e-05,2.87579381443299e-05,2.880943699711384e-05,2.8699300057372352e-05,2.8275163841807915e-05,0.0969154638105802,0.0969154638105802,2.8565398551558145e-05,3.230515460352676e-05,2.886296963411691e-05,0.0969154638105802,2.8922725755916937e-05,2.87017176669964e-05,2.875830683501564e-05,2.898877890190204e-05,2.906098321678321e-05,0.0001437473274767,3.037745491299015e-05,3.0386074546781847e-05,3.0370505805283463e-05,2.918263477662405e-05,3.0524127600238204e-05,6.355340031466333e-05,5.9761430843803416e-05,4.3832622578184207e-05,3.644629867881058e-05,5.036738254331449e-05,5.684648929913976e-05,4.04591460371461e-05,6.542488447379972e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---8,2.874022467145549e-05,2.8852510932105863e-05,2.8891907767947544e-05,2.88036462042674e-05,2.8421154240182148e-05,0.1227065894388486,0.1227065894388486,2.875806719888376e-05,4.090219647961621e-05,2.8935365520284403e-05,0.1227065894388486,2.8982016143175787e-05,2.885338873841828e-05,2.8918075165797404e-05,2.9038675401516025e-05,2.910819471217407e-05,0.000627348855093,2.4897936839616563e-05,2.483187206862067e-05,2.49838669064194e-05,2.9267224410783446e-05,2.5426100765593982e-05,6.116036307414783e-05,5.755989280264117e-05,-1.152181844326825e-05,8.382332505494427e-06,4.935907623392458e-05,5.455652547168294e-05,3.81617093759721e-05,6.333681194189801e-05
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---9,2.8579913813674143e-05,2.8713863262523468e-05,2.87635961927678e-05,2.865120490510142e-05,2.8290155065082057e-05,0.0914044846901363,0.0914044846901363,2.861382949319756e-05,3.0468161563378792e-05,2.880724841498558e-05,0.0914044846901363,2.8857782099258764e-05,2.8759886690211344e-05,2.8833767121443133e-05,2.8914452163877668e-05,2.900372889702e-05,7.23891141126966e-05,2.956713712273884e-05,2.956738280084452e-05,2.9572180628594392e-05,2.918042888225605e-05,2.961853381016688e-05,6.433314841720794e-05,6.068978315813993e-05,3.490189690463244e-05,3.1989860307761616e-05,5.161930720090046e-05,5.78502852001296e-05,4.1767329754635295e-05,6.61203113760198e-05
