id,y__large_standard_deviation__r_0.30000000000000004,"y__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","y__fft_coefficient__attr_""imag""__coeff_98","y__fft_coefficient__attr_""angle""__coeff_53","y__cwt_coefficients__coeff_11__w_2__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_72","y__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)",y__has_duplicate_max,"y__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""angle""__coeff_93",y__symmetry_looking__r_0.9500000000000001,y__large_standard_deviation__r_0.4,"y__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",y__large_standard_deviation__r_0.05,"y__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",y__number_crossing_m__m_1,"y__fft_coefficient__attr_""real""__coeff_69","y__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_5","y__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0","y__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","y__fft_coefficient__attr_""abs""__coeff_28","y__fft_coefficient__attr_""abs""__coeff_95","y__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""real""__coeff_4",y__partial_autocorrelation__lag_4,"y__fft_coefficient__attr_""abs""__coeff_18","y__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0","y__fft_coefficient__attr_""angle""__coeff_16"
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---0,0.0,3.61434756626693e-10,-0.0002090035964941,66.18473932164508,-2.739946989104468e-07,135.95671588111264,2.6356543476302684e-05,0.0,6.032332015364827e-06,102.99094255091924,1.0,0.0,2.867213088539491e-05,0.0,2.2438674010626097e-06,0.0,0.0003445268719227,6.56060921825917e-05,0.0006410184836605,3.0619280233043135e-15,2.8107030515211088e-15,0.0006037720798641,0.000644585873707,4.908239203948503e-05,-0.0005473158871087,0.0005478481670155,0.0005609443715772,4.032948323757511e-05,-1.246931015425205e-09,-127.31872567912814
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---1,0.0,1.0967633876992535e-06,-0.0261279235234628,159.43671926944415,-1.7431815187332597e-07,96.06017871124006,2.333744344968596e-05,0.0,6.870274295812496e-06,-148.5637134448549,1.0,0.0,2.8918075165797404e-05,0.0,2.512281994943716e-06,0.0,-0.0346951452946347,6.333681194189801e-05,0.0354975521907751,1.9181495461586626e-15,2.583250334247057e-15,0.0339970933481816,0.0340193564521479,4.8653237466272086e-05,0.0330791937139387,-0.000339386564236,0.034270162449414,3.7175502394703546e-05,-3.38881674909523e-09,20.74749522661869
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---2,0.0,5.24719742116269e-08,-0.0048668587716834,142.30356278030493,-4.546202730934008e-07,90.06739635100202,2.5148368275073547e-05,0.0,6.872802699243655e-06,-170.42897903501884,1.0,0.0,2.875830683501564e-05,0.0,2.7584235641215586e-06,0.0,-0.0074812627871121,6.542488447379972e-05,0.0101246121676025,2.6630443935910715e-15,3.3277952121188613e-15,0.0072707740467135,0.0081928403363222,4.942830939399124e-05,0.005040015688026,-0.000490868952074,0.0076178300168061,3.9281059004851554e-05,-2.981519156966448e-09,12.334848230013984
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---3,0.0,7.728735348611632e-09,0.0026503404823303,-135.54532530943064,-2.784270767375617e-07,167.92593693464863,2.6380158070240533e-05,0.0,5.429321844793676e-06,-52.46473919724011,1.0,0.0,2.908068371888057e-05,0.0,1.5089964196694914e-06,0.0,0.0009280413463526,6.60444181114074e-05,0.0038747512047221,3.1217656253269937e-15,3.4516593818053653e-15,0.0038084888985299,0.0021097780788499,4.799449389211956e-05,0.0016329640169789,-0.0003897537334803,0.0036804981410962,3.955628356599452e-05,-2.1538141889534824e-09,71.0043763625855
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---4,0.0,3.61434756626693e-10,-0.0002090035964941,66.18473932164508,-2.739946989104468e-07,135.95671588111264,2.6356543476302684e-05,0.0,6.032332015364827e-06,102.99094255091924,1.0,0.0,2.867213088539491e-05,0.0,2.2438674010626097e-06,0.0,0.0003445268719227,6.56060921825917e-05,0.0006410184836605,3.0619280233043135e-15,2.8107030515211088e-15,0.0006037720798641,0.000644585873707,4.908239203948503e-05,-0.0005473158871087,0.0005478481670155,0.0005609443715772,4.032948323757511e-05,-1.246931015425205e-09,-127.31872567912814
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---5,0.0,1.0946788844608433e-07,0.0132024388334427,-144.052131133429,-3.755129121245885e-07,163.55886943556135,2.647966861628825e-05,0.0,4.7620838097609165e-06,-38.35905402779434,1.0,0.0,2.8744724342296648e-05,0.0,1.492055261069785e-06,0.0,-0.0030821885160069,6.493593976055514e-05,0.017641568464886,3.923391039504096e-15,4.371097926748925e-15,0.0140371811299232,0.0125393766157747,4.836923093327175e-05,0.0121644840116621,-0.0004518532195026,0.0146909388796803,3.944056745247423e-05,-2.20951645113761e-09,39.13149917296516
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---6,0.0,3.61434756626693e-10,-0.0002090035964941,66.18473932164508,-2.739946989104468e-07,135.95671588111264,2.6356543476302684e-05,0.0,6.032332015364827e-06,102.99094255091924,1.0,0.0,2.867213088539491e-05,0.0,2.2438674010626097e-06,0.0,0.0003445268719227,6.56060921825917e-05,0.0006410184836605,3.0619280233043135e-15,2.8107030515211088e-15,0.0006037720798641,0.000644585873707,4.908239203948503e-05,-0.0005473158871087,0.0005478481670155,0.0005609443715772,4.032948323757511e-05,-1.246931015425205e-09,-127.31872567912814
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---7,0.0,5.24719742116269e-08,-0.0048668587716834,142.30356278030493,-4.546202730934008e-07,90.06739635100202,2.5148368275073547e-05,0.0,6.872802699243655e-06,-170.42897903501884,1.0,0.0,2.875830683501564e-05,0.0,2.7584235641215586e-06,0.0,-0.0074812627871121,6.542488447379972e-05,0.0101246121676025,2.6630443935910715e-15,3.3277952121188613e-15,0.0072707740467135,0.0081928403363222,4.942830939399124e-05,0.005040015688026,-0.000490868952074,0.0076178300168061,3.9281059004851554e-05,-2.981519156966448e-09,12.334848230013984
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---8,0.0,1.0967633876992535e-06,-0.0261279235234628,159.43671926944415,-1.7431815187332597e-07,96.06017871124006,2.333744344968596e-05,0.0,6.870274295812496e-06,-148.5637134448549,1.0,0.0,2.8918075165797404e-05,0.0,2.512281994943716e-06,0.0,-0.0346951452946347,6.333681194189801e-05,0.0354975521907751,1.9181495461586626e-15,2.583250334247057e-15,0.0339970933481816,0.0340193564521479,4.8653237466272086e-05,0.0330791937139387,-0.000339386564236,0.034270162449414,3.7175502394703546e-05,-3.38881674909523e-09,20.74749522661869
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case1&numberOfSignificantValueDigits=2---9,0.0,1.19374741600636e-08,-0.0012493934306678,175.9155619562001,-8.320444457759725e-07,114.35697424115884,2.5128804195782887e-05,0.0,6.245367014332285e-06,-125.79868706537737,1.0,0.0,2.8833767121443133e-05,0.0,1.6073095064552826e-06,0.0,-0.0032224135320824,6.61203113760198e-05,0.0047375707195,2.4715579814304958e-15,3.546724735953611e-15,0.0034566535235325,0.0039942754986871,5.043291143430875e-05,0.0024449527120706,-0.0002936014855231,0.003598967808277,4.1154761138969966e-05,-5.701943580362839e-09,25.34930760595421
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---0,0.0,7.874578915206406e-09,0.0022472167332368,-117.09275816677628,-2.4108157116087265e-07,-17.54917928502144,2.275866964679844e-05,0.0,6.509625973098022e-06,-78.22119828623892,1.0,0.0,2.790467561366193e-05,0.0,2.5321059120515035e-06,0.0,0.0023009218355796,6.107821351131361e-05,0.0026850035484766,1.8937738100722718e-16,5.574477122381046e-16,0.0032503670751345,0.0036267310577091,4.679705045163567e-05,0.0015094699300254,-0.0004465546242339,0.0022276529714636,3.5681386731461226e-05,-8.093724844305982e-10,175.06875865655317
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---1,0.0,7.874578915206406e-09,0.0022472167332368,-117.09275816677628,-2.4108157116087265e-07,-17.54917928502144,2.275866964679844e-05,0.0,6.509625973098022e-06,-78.22119828623892,1.0,0.0,2.790467561366193e-05,0.0,2.5321059120515035e-06,0.0,0.0023009218355796,6.107821351131361e-05,0.0026850035484766,1.8937738100722718e-16,5.574477122381046e-16,0.0032503670751345,0.0036267310577091,4.679705045163567e-05,0.0015094699300254,-0.0004465546242339,0.0022276529714636,3.5681386731461226e-05,-8.093724844305982e-10,175.06875865655317
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---2,0.0,9.570870224603261e-10,-0.0014058158871025,56.96707037911049,-6.008899479298489e-07,-169.9369077281266,2.250815261343761e-05,0.0,6.805608049508129e-06,157.2580571555609,1.0,0.0,2.836448181317536e-05,0.0,2.4039121672772845e-06,0.0,0.0001495863841689,6.174237743072282e-05,0.0013770143972244,3.182313979772965e-16,1.4544076152323124e-15,0.0002437765535817,0.000111671689619,4.697575025044904e-05,-0.0011418622989304,-0.0001641708983195,6.0094249726026754e-05,3.611830069607693e-05,-7.50967475688637e-10,-136.07876225016577
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---3,0.0,6.358102537028935e-08,-0.003488307024844,178.00246039172916,-4.528024477075543e-07,-79.88241818626356,2.4479791274783808e-05,0.0,5.41951415916126e-06,-159.71237152459094,1.0,0.0,2.777736777199905e-05,0.0,1.825155666002672e-06,0.0,0.0098131095594045,6.169757508702374e-05,0.0084965214327565,2.496054556480169e-16,7.350569820265309e-16,0.0099601373432067,0.0091011013077711,4.6526158619059e-05,0.0051068860431553,-0.0005146454925128,0.0096137492847849,3.773769131891216e-05,-7.671196429164771e-10,158.9525065895854
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---4,0.0,3.4727794066492674e-08,0.0050081973748129,63.23937297329007,-7.583369460040215e-07,97.85191762928912,2.4582860610031714e-05,0.0,5.24272540523584e-06,-63.13427537445726,1.0,0.0,2.781708783899708e-05,0.0,1.6641820568952302e-06,0.0,-0.005400209728154,6.157120960805204e-05,0.0067411964433056,1.8276788417238788e-16,5.302413826443529e-16,0.0062518847653723,0.0060509735781672,4.651708259664413e-05,0.0045929692066753,-0.0001107425550682,0.0062692644975707,3.773616913940148e-05,-2.748739994810107e-10,110.54372690353232
HdrHistogram__HdrHistogram#bench.HdrHistogramEncodingBench.encodeIntoCompressedByteBuffer#latencySeriesName=case2&numberOfSignificantValueDigits=2---5,0.0,2.1107128481501682e-07,-0.0152429311998839,172.41015293062833,-1.2036915247120277e-07,-115.904289069897,2.450468281032825e-05,0.0,5.92805653142208e-06,150.27658207927533,1.0,0.0,2.822656169092173e-05,0.0,2.0041363260733194e-06,0.0,0.0106517268984075,6.047486208508853e-05,0.0122596745669993,2.524950634772535e-16,1.0119029070634771e-14,0.0154490248805475,0.014490543342369,4.656472427716491e-05,0.0117369065415774,-0.0003545111476101,0.0149108847529443,3.790918374909357e-05,-8.601569837056754e-10,138.57194123752535
