id,model
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---0,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---15,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---24,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---26,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---1,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---10,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---11,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---14,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---12,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---29,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---13,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---16,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---17,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---18,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---19,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---22,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---6,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---2,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---9,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---20,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---21,OSCNN
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---25,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---23,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---27,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---28,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---4,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fannkuch_redux---8,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---0,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---1,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---10,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---21,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---11,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---16,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---12,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---13,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---23,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---4,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---14,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---15,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---17,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---18,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---6,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---19,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---2,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---5,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---20,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---22,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---24,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---25,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---26,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---8,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---27,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---7,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---28,Rocket
warmup_results_0_8_linux2_i7_4790___C-default-c.json#fasta---29,Rocket
