id,model
4,FCVAE
5,FCVAE
9,FCVAE
10,FCVAE
12,FITS
13,LSTMADalpha
14,LSTMADalpha
15,FITS
16,LSTMADalpha
17,LSTMADalpha
19,AR
21,EncDecAD
22,EncDecAD
23,LSTMADalpha
25,AR
26,EncDecAD
27,EncDecAD
28,EncDecAD
29,EncDecAD
30,EncDecAD
31,LSTMADalpha
32,LSTMADalpha
33,LSTMADalpha
34,LSTMADalpha
35,LSTMADalpha
36,LSTMADalpha
37,LSTMADalpha
38,FITS
45,FCVAE
46,LSTMADalpha
47,LSTMADalpha
48,LSTMADalpha
49,FCVAE
50,FCVAE
53,FITS
54,LSTMADalpha
57,FCVAE
58,LSTMADalpha
59,FITS
60,LSTMADalpha
61,LSTMADalpha
62,EncDecAD
65,FCVAE
66,EncDecAD
67,AR
68,FCVAE
69,LSTMADalpha
70,LSTMADalpha
71,LSTMADalpha
72,FCVAE
73,LSTMADalpha
74,FITS
78,FCVAE
79,FITS
80,FCVAE
83,FCVAE
84,EncDecAD
85,AR
86,EncDecAD
89,FITS
93,LSTMADalpha
94,LSTMADalpha
95,EncDecAD
96,AR
97,EncDecAD
98,EncDecAD
99,EncDecAD
101,EncDecAD
102,FITS
103,AR
104,LSTMADalpha
105,LSTMADalpha
106,LSTMADalpha
107,LSTMADalpha
108,LSTMADalpha
109,EncDecAD
110,LSTMADalpha
111,LSTMADalpha
112,LSTMADalpha
113,LSTMADalpha
116,LSTMADalpha
117,FCVAE
118,AR
119,AR
120,FCVAE
121,FCVAE
122,FCVAE
123,FCVAE
124,FCVAE
125,FCVAE
128,FCVAE
131,FCVAE
132,FCVAE
133,FCVAE
134,FCVAE
135,FCVAE
136,FCVAE
137,FCVAE
140,LSTMADalpha
142,LSTMADalpha
143,LSTMADalpha
144,LSTMADalpha
145,LSTMADalpha
146,LSTMADalpha
147,EncDecAD
148,LSTMADalpha
149,LSTMADalpha
150,EncDecAD
151,FITS
152,AR
153,AR
154,LSTMADalpha
155,LSTMADalpha
156,AR
157,AR
158,AR
159,AR
160,LSTMADalpha
161,LSTMADalpha
163,LSTMADalpha
164,EncDecAD
165,FCVAE
166,EncDecAD
167,LSTMADalpha
168,AR
169,LSTMADalpha
170,AR
171,AR
172,FCVAE
173,AR
174,LSTMADalpha
176,LSTMADalpha
177,FITS
178,FITS
179,LSTMADalpha
180,EncDecAD
181,FITS
182,AR
183,AR
184,FCVAE
185,AR
186,EncDecAD
187,EncDecAD
188,EncDecAD
190,FCVAE
191,FITS
192,FITS
193,EncDecAD
194,EncDecAD
196,FITS
197,FITS
198,LSTMADalpha
199,FCVAE
200,LSTMADalpha
201,FCVAE
202,FCVAE
203,LSTMADalpha
204,LSTMADalpha
205,FCVAE
207,LSTMADalpha
209,FCVAE
