id,model
4,FCVAE
5,FCVAE
9,FCVAE
10,FCVAE
12,LSTMADalpha
13,LSTMADalpha
14,LSTMADalpha
15,LSTMADalpha
16,LSTMADalpha
17,LSTMADalpha
19,FITS
21,EncDecAD
22,AR
23,LSTMADalpha
25,AR
26,AR
27,LSTMADalpha
28,LSTMADalpha
29,EncDecAD
30,EncDecAD
31,LSTMADalpha
32,LSTMADalpha
33,LSTMADalpha
34,LSTMADalpha
35,LSTMADalpha
36,LSTMADalpha
37,FCVAE
38,FITS
45,FCVAE
46,LSTMADalpha
47,FCVAE
48,LSTMADalpha
49,FCVAE
50,FCVAE
53,FITS
54,FITS
57,FCVAE
58,LSTMADalpha
59,LSTMADalpha
60,FCVAE
61,FCVAE
62,FCVAE
65,FCVAE
66,EncDecAD
67,AR
68,AR
69,LSTMADalpha
70,LSTMADalpha
71,LSTMADalpha
72,LSTMADalpha
73,EncDecAD
74,LSTMADalpha
78,FCVAE
79,LSTMADalpha
80,FCVAE
83,FCVAE
84,FCVAE
85,AR
86,AR
89,AR
93,LSTMADalpha
94,LSTMADalpha
95,LSTMADalpha
96,AR
97,AR
98,EncDecAD
99,EncDecAD
101,EncDecAD
102,FCVAE
103,LSTMADalpha
104,LSTMADalpha
105,LSTMADalpha
106,LSTMADalpha
107,LSTMADalpha
108,LSTMADalpha
109,LSTMADalpha
110,LSTMADalpha
111,LSTMADalpha
112,LSTMADalpha
113,LSTMADalpha
116,LSTMADalpha
117,FCVAE
118,AR
119,EncDecAD
120,FCVAE
121,LSTMADalpha
122,FCVAE
123,FCVAE
124,FCVAE
125,FCVAE
128,FCVAE
131,FCVAE
132,FCVAE
133,LSTMADalpha
134,FCVAE
135,FCVAE
136,FITS
137,FCVAE
140,LSTMADalpha
142,FCVAE
143,FCVAE
144,LSTMADalpha
145,LSTMADalpha
146,LSTMADalpha
147,LSTMADalpha
148,LSTMADalpha
149,LSTMADalpha
150,LSTMADalpha
151,FITS
152,AR
153,AR
154,EncDecAD
155,FCVAE
156,AR
157,AR
158,FITS
159,LSTMADalpha
160,LSTMADalpha
161,FCVAE
163,EncDecAD
164,EncDecAD
165,LSTMADalpha
166,LSTMADalpha
167,LSTMADalpha
168,LSTMADalpha
169,LSTMADalpha
170,AR
171,AR
172,LSTMADalpha
173,AR
174,FCVAE
176,LSTMADalpha
177,FITS
178,LSTMADalpha
179,FCVAE
180,EncDecAD
181,AR
182,AR
183,AR
184,LSTMADalpha
185,FCVAE
186,FITS
187,EncDecAD
188,AR
190,FCVAE
191,FITS
192,FITS
193,FITS
194,LSTMADalpha
196,FITS
197,FITS
198,LSTMADalpha
199,LSTMADalpha
200,LSTMADalpha
201,LSTMADalpha
202,LSTMADalpha
203,LSTMADalpha
204,FITS
205,LSTMADalpha
207,LSTMADalpha
209,LSTMADalpha
