id,model
4,FCVAE
5,LSTMADalpha
9,FCVAE
10,FITS
12,FCVAE
13,LSTMADalpha
14,LSTMADalpha
15,LSTMADalpha
16,LSTMADalpha
17,LSTMADalpha
19,AR
21,LSTMADalpha
22,EncDecAD
23,LSTMADalpha
25,AR
26,AR
27,LSTMADalpha
28,LSTMADalpha
29,LSTMADalpha
30,LSTMADalpha
31,LSTMADalpha
32,LSTMADalpha
33,LSTMADalpha
34,LSTMADalpha
35,LSTMADalpha
36,LSTMADalpha
37,FCVAE
38,LSTMADalpha
45,FCVAE
46,LSTMADalpha
47,LSTMADalpha
48,LSTMADalpha
49,FCVAE
50,LSTMADalpha
53,FITS
54,FITS
57,EncDecAD
58,LSTMADalpha
59,LSTMADalpha
60,LSTMADalpha
61,FCVAE
62,LSTMADalpha
65,FCVAE
66,FITS
67,AR
68,AR
69,LSTMADalpha
70,LSTMADalpha
71,LSTMADalpha
72,FCVAE
73,LSTMADalpha
74,LSTMADalpha
78,LSTMADalpha
79,FCVAE
80,FCVAE
83,FCVAE
84,EncDecAD
85,FCVAE
86,AR
89,LSTMADalpha
93,FCVAE
94,LSTMADalpha
95,EncDecAD
96,AR
97,FCVAE
98,EncDecAD
99,EncDecAD
101,EncDecAD
102,FITS
103,AR
104,LSTMADalpha
105,LSTMADalpha
106,LSTMADalpha
107,LSTMADalpha
108,LSTMADalpha
109,LSTMADalpha
110,LSTMADalpha
111,LSTMADalpha
112,FCVAE
113,LSTMADalpha
116,LSTMADalpha
117,FCVAE
118,EncDecAD
119,EncDecAD
120,FCVAE
121,EncDecAD
122,FCVAE
123,FCVAE
124,FCVAE
125,FCVAE
128,LSTMADalpha
131,FCVAE
132,FCVAE
133,FCVAE
134,FCVAE
135,FCVAE
136,FCVAE
137,FCVAE
140,LSTMADalpha
142,FCVAE
143,FCVAE
144,LSTMADalpha
145,LSTMADalpha
146,LSTMADalpha
147,LSTMADalpha
148,LSTMADalpha
149,LSTMADalpha
150,EncDecAD
151,AR
152,AR
153,AR
154,EncDecAD
155,LSTMADalpha
156,LSTMADalpha
157,AR
158,FITS
159,EncDecAD
160,LSTMADalpha
161,LSTMADalpha
163,FCVAE
164,FCVAE
165,FCVAE
166,EncDecAD
167,LSTMADalpha
168,LSTMADalpha
169,EncDecAD
170,AR
171,AR
172,FCVAE
173,AR
174,LSTMADalpha
176,LSTMADalpha
177,FITS
178,FCVAE
179,LSTMADalpha
180,EncDecAD
181,AR
182,AR
183,AR
184,LSTMADalpha
185,FCVAE
186,LSTMADalpha
187,EncDecAD
188,LSTMADalpha
190,FCVAE
191,LSTMADalpha
192,LSTMADalpha
193,EncDecAD
194,LSTMADalpha
196,FITS
197,LSTMADalpha
198,LSTMADalpha
199,LSTMADalpha
200,FITS
201,LSTMADalpha
202,LSTMADalpha
203,LSTMADalpha
204,LSTMADalpha
205,LSTMADalpha
207,LSTMADalpha
209,LSTMADalpha
