id,model
0,Chronos
1,Chronos
10,RNN_RNN
100,RNN_LSTM
101,Chronos
102,RNN_GRU
103,Chronos
104,Chronos
105,Chronos
106,Chronos
107,Chronos
108,Chronos
109,Chronos
11,Chronos
110,Chronos
111,Chronos
112,Chronos
113,Chronos
114,Chronos
115,Chronos
116,RNN_LSTM
117,RNN_RNN
118,Chronos
119,Chronos
12,Chronos
120,Chronos
121,Chronos
122,Chronos
123,Chronos
124,Chronos
125,Chronos
126,Chronos
127,Chronos
128,Chronos
129,Chronos
13,Chronos
130,Chronos
131,Chronos
132,Chronos
133,Chronos
134,Chronos
135,Chronos
136,Chronos
137,Chronos
138,Chronos
139,Chronos
14,Chronos
140,Chronos
141,Chronos
142,Chronos
143,Chronos
144,Chronos
145,Chronos
146,Chronos
147,Chronos
148,Chronos
149,Chronos
15,Chronos
150,Chronos
151,Chronos
152,Chronos
153,RNN_GRU
154,Chronos
155,Chronos
156,Chronos
157,Chronos
158,Chronos
159,Chronos
16,Chronos
160,Chronos
161,Chronos
162,Chronos
163,Chronos
164,Chronos
165,Chronos
166,Chronos
167,Chronos
168,Chronos
169,Chronos
17,Chronos
170,Chronos
171,Chronos
172,Chronos
173,Chronos
174,Chronos
175,Chronos
176,Chronos
177,Chronos
178,Chronos
179,Chronos
18,RNN_GRU
180,Chronos
181,Chronos
182,Chronos
183,Chronos
184,Chronos
185,Chronos
186,Chronos
187,Chronos
188,RNN_LSTM
189,Chronos
19,Chronos
190,RNN_RNN
191,Chronos
192,Chronos
193,Chronos
194,RNN_LSTM
195,RNN_RNN
196,Chronos
197,Chronos
198,Chronos
199,Chronos
2,Chronos
20,Chronos
200,Chronos
201,Chronos
202,Chronos
203,Chronos
204,Chronos
205,Chronos
206,Chronos
207,Chronos
208,Chronos
209,Chronos
21,Chronos
22,Chronos
23,RNN_LSTM
24,RNN_RNN
25,RNN_RNN
26,Chronos
27,Chronos
28,Chronos
29,Chronos
3,Chronos
30,Chronos
31,Chronos
32,Chronos
33,Chronos
34,Chronos
35,Chronos
36,Chronos
37,Chronos
38,Chronos
39,SARIMA
4,Chronos
40,Chronos
41,RNN_LSTM
42,RNN_RNN
43,Chronos
44,Chronos
45,Chronos
46,Chronos
47,Chronos
48,TimesFM
49,Chronos
5,Chronos
50,Chronos
51,Chronos
52,Chronos
53,TimesFM
54,Chronos
55,Chronos
56,Chronos
57,Chronos
58,Chronos
59,TimesFM
6,Chronos
60,Chronos
61,Chronos
62,Chronos
63,Chronos
64,Chronos
65,RNN_LSTM
66,RNN_GRU
67,TimesFM
68,Chronos
69,Chronos
7,Chronos
70,Chronos
71,Chronos
72,Chronos
73,Chronos
74,Chronos
75,SARIMA
76,RNN_LSTM
77,Chronos
78,Chronos
79,Chronos
8,RNN_RNN
80,Chronos
81,Chronos
82,Chronos
83,RNN_LSTM
84,Chronos
85,RNN_GRU
86,Chronos
87,RNN_LSTM
88,Chronos
89,TimesFM
9,RNN_RNN
90,RNN_LSTM
91,RNN_RNN
92,TimesFM
93,Chronos
94,Chronos
95,RNN_GRU
96,Chronos
97,RNN_LSTM
98,Chronos
99,Chronos
